timestamp,container,cpu_usage,mem_usage,net_io,block_io,pids
2025-02-14 18:03:04,edge-edge-1,0.67%,0B / 0B,47.7kB / 14.3kB,0B / 0B,3
2025-02-14 18:03:04,edge-watchtower-1,0.00%,0B / 0B,32.4kB / 892B,0B / 0B,8
2025-02-14 18:03:12,edge-thread-router-init-1,0.00%,0B / 0B,31.5kB / 892B,0B / 0B,1
2025-02-14 18:03:12,thread-router,0.05%,0B / 0B,5.59kB / 27.6kB,0B / 0B,10
2025-02-14 18:03:12,edge-edge-1,0.23%,0B / 0B,48kB / 14.6kB,0B / 0B,3
2025-02-14 18:03:12,edge-watchtower-1,0.00%,0B / 0B,32.4kB / 892B,0B / 0B,8
2025-02-14 18:03:19,pathfinder,303.39%,0B / 0B,0B / 0B,0B / 0B,22
2025-02-14 18:03:19,edge-thread-router-init-1,0.00%,0B / 0B,31.5kB / 892B,0B / 0B,1
2025-02-14 18:03:19,thread-router,0.07%,0B / 0B,5.59kB / 27.6kB,0B / 0B,10
2025-02-14 18:03:19,edge-edge-1,0.10%,0B / 0B,48kB / 14.6kB,0B / 0B,13
2025-02-14 18:03:19,edge-watchtower-1,0.00%,0B / 0B,32.4kB / 892B,0B / 0B,8
2025-02-14 18:03:27,edge-thread-router-init-1,0.00%,0B / 0B,31.5kB / 892B,0B / 0B,1
2025-02-14 18:03:27,thread-router,0.05%,0B / 0B,5.59kB / 27.6kB,0B / 0B,10
2025-02-14 18:03:27,edge-edge-1,0.02%,0B / 0B,48.1kB / 14.8kB,0B / 0B,3
2025-02-14 18:03:27,edge-watchtower-1,0.00%,0B / 0B,32.4kB / 892B,0B / 0B,8
2025-02-14 18:03:35,edge-thread-router-init-1,0.00%,0B / 0B,31.5kB / 892B,0B / 0B,1
2025-02-14 18:03:35,thread-router,0.05%,0B / 0B,5.59kB / 27.6kB,0B / 0B,10
2025-02-14 18:03:35,edge-edge-1,0.17%,0B / 0B,48.2kB / 15kB,0B / 0B,3
2025-02-14 18:03:35,edge-watchtower-1,0.00%,0B / 0B,32.4kB / 892B,0B / 0B,8
2025-02-14 18:03:42,edge-thread-router-init-1,0.00%,0B / 0B,31.5kB / 892B,0B / 0B,1
2025-02-14 18:03:42,thread-router,0.03%,0B / 0B,5.59kB / 27.6kB,0B / 0B,10
2025-02-14 18:03:42,edge-edge-1,0.02%,0B / 0B,48.3kB / 15.1kB,0B / 0B,3
2025-02-14 18:03:42,edge-watchtower-1,0.00%,0B / 0B,32.4kB / 892B,0B / 0B,8
2025-02-14 18:03:50,edge-thread-router-init-1,0.00%,0B / 0B,31.5kB / 892B,0B / 0B,1
2025-02-14 18:03:50,thread-router,0.39%,0B / 0B,5.59kB / 27.6kB,0B / 0B,10
2025-02-14 18:03:50,edge-edge-1,0.05%,0B / 0B,48.4kB / 15.2kB,0B / 0B,13
2025-02-14 18:03:50,edge-watchtower-1,0.00%,0B / 0B,32.4kB / 892B,0B / 0B,8
2025-02-14 18:03:57,edge-thread-router-init-1,0.00%,0B / 0B,31.5kB / 892B,0B / 0B,1
2025-02-14 18:03:57,thread-router,0.02%,0B / 0B,5.59kB / 27.6kB,0B / 0B,10
2025-02-14 18:03:57,edge-edge-1,0.02%,0B / 0B,48.4kB / 15.3kB,0B / 0B,3
2025-02-14 18:03:57,edge-watchtower-1,0.00%,0B / 0B,32.4kB / 892B,0B / 0B,8
2025-02-14 18:04:05,edge-thread-router-init-1,0.00%,0B / 0B,31.5kB / 892B,0B / 0B,1
2025-02-14 18:04:05,thread-router,0.03%,0B / 0B,5.59kB / 27.6kB,0B / 0B,10
2025-02-14 18:04:05,edge-edge-1,0.03%,0B / 0B,48.4kB / 15.3kB,0B / 0B,3
2025-02-14 18:04:05,edge-watchtower-1,0.00%,0B / 0B,32.4kB / 892B,0B / 0B,8
2025-02-14 18:04:13,edge-thread-router-init-1,0.00%,0B / 0B,31.5kB / 892B,0B / 0B,1
2025-02-14 18:04:13,thread-router,0.03%,0B / 0B,5.59kB / 27.6kB,0B / 0B,10
2025-02-14 18:04:13,edge-edge-1,0.03%,0B / 0B,48.4kB / 15.3kB,0B / 0B,3
2025-02-14 18:04:13,edge-watchtower-1,0.00%,0B / 0B,32.4kB / 892B,0B / 0B,8
2025-02-14 18:04:20,edge-thread-router-init-1,0.00%,0B / 0B,31.5kB / 892B,0B / 0B,1
2025-02-14 18:04:20,thread-router,0.03%,0B / 0B,5.59kB / 27.6kB,0B / 0B,10
2025-02-14 18:04:20,edge-edge-1,0.02%,0B / 0B,48.4kB / 15.3kB,0B / 0B,3
2025-02-14 18:04:20,edge-watchtower-1,0.00%,0B / 0B,32.4kB / 892B,0B / 0B,8
